Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
11400,253.4,823,25,4.6,28,48,9.8,24,18,381,64,215,51,103,-6,49,60,294,57,4500,4080
11200,248.7,866,18,6.4,28,50,10,27,18,379,64,211,51,102,-6,51,62,296,59,4800,4380
11000,244.1,897,15,7.8,27,53,10,30,19,377,63,207,50,101,-6,53,63,298,61,5000,4590
10800,239.6,923,13,8.9,27,55,10,32,20,375,63,203,49,99,-6,55,64,300,62,5100,4760
10600,265.1,945,11,9.8,27,58,10,34,21,373,62,199,48,97,-6,56,65,301,63,5200,4900
10400,230.6,966,10,11,27,60,9.9,36,22,371,61,196,47,95,-6,57,66,301,64,5300,5020
10200,226.1,984,10,11,27,62,9.9,38,22,368,60,192,46,93,-6,59,67,302,65,5400,5140
10000,221.6,1002,9,12,26,64,9.9,41,22,364,59,188,45,91,-6,60,68,303,65,5500,5250
9800,217.0,1018,9,12,25,65,9.8,44,23,361,58,184,44,89,-6,61,69,304,66,5500,5340
9600,212.5,1033,8,13,25,65,9.6,46,23,357,57,180,43,87,-6,61,69,305,66,5600,5420
9400,208.1,1047,7,14,24,66,9.4,49,24,354,56,176,42,85,-6,62,70,306,67,5700,5490
9200,203.7,1061,7,15,24,66,9.3,51,25,350,55,172,42,84,-6,63,71,306,67,5700,5560
9000,199.3,1075,7,15,23,67,9.2,53,26,347,53,168,41,83,-6,64,71,307,67,5700,5630
8800,194.9,1088,6,16,23,68,9.0,57,27,344,52,165,40,81,-5,65,72,307,67,5800,5700
8600,190.5,1100,6,16,22,69,8.9,60,27,340,51,161,39,79,-5,65,72,308,68,5800,5760
8400,186.1,1112,5,17,22,70,8.7,63,28,336,50,157,38,77,-5,66,73,303,68,5900,5820
8200,181.7,1123,5,17,21,72,8.5,66,29,333,49,153,37,75,-5,67,73,308,69,5900,5870
8000,177.2,1135,5,17,21,73,8.4,69,29,329,48,149,37,74,-5,68,74,308,69,6000,5920
7800,172.6,1146,5,17,20,73,8.2,72,30,326,46,145,36,73,-4,68,74,309,70,6000,5970
7600,168.0,1157,5,17,20,72,8.1,75,31,323,44,141,35,71,-4,69,75,309,70,6000,6020
7400,164.4,1167,0,0,19,71,8.0,78,32,320,43,137,34,69,-4,70,75,309,70,6100,6060
