Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
200,0,0,1,49,9.6,0.0,0.0,0,0,0,0,0,2,4,1,0.00,0.2,479,0.4,0,0.2
400,13.5,4,1,47,9.3,0.1,0.1,0,0,0,0,0,4,8,2,0.25,0.5,465,0.8,0,0.9
600,18.4,8,1,45,9.1,0.1,0.2,0,1,1,0,1,5,11,3,0.50,0.7,451,1.2,0,2.0
800,23.4,13,1,43,8.8,0.2,0.2,0,1,2,1,2,7,15,3,0.76,1.0,438,1.6,0,3.6
1000,28.2,17,1,41,8.6,0.2,0.3,1,1,3,1,3,9,18,4,1.03,1.3,425,2.1,0,5.8
1200,33.0,22,1,39,8.6,0.3,0.4,1,2,4,2,4,10,21,4,1,1.7,413,2.6,0,8.7
1400,37.9,27,1,38,8.6,0.3,0.5,1,2,5,2,5,12,24,5,1,2.1,401,3.1,0,12
1600,42.8,32,1,37,8.6,0.4,0.6,1,2,7,3,7,14,27,5,1,2.5,390,3.6,0,16
1800,47.7,38,1,35,8.6,0.4,0.8,1,3,9,4,9,15,30,6,2,3.0,379,4.1,0,21
2000,52.4,43,1,33,8.7,0.5,1.0,1,3,11,5,11,17,33,6,2,3.5,368,4.6,0,27
2200,57.2,49,1,32,8.9,0.6,1.2,1,3,14,6,13,18,36,6,2,4.0,357,5.2,0,33
2400,61.9,55,1,31,9.1,0.7,1.4,1,4,17,7,16,19,38,6,3,4.5,347,5.8,100,41
2600,66.6,62,1,30,9.3,0.9,1.6,1,4,20,8,18,20,41,6,3,5.1,339,6.4,100,50
2800,71.2,68,1,29,9.6,1.0,1.8,1,4,24,8,21,22,43,7,4,5.7,332,7.0,100,61
3000,75.8,75,1,28,9.9,1.1,2.0,2,5,28,9,24,23,46,7,4,6.3,326,7.6,100,72
3200,80.2,82,1,27,10,1.2,2.2,2,5,33,10,27,25,49,7,4,6.9,231,8.3,100,84
3400,84.6,89,1,26,10,1.4,2.4,2,5,38,11,31,26,51,7,5,7.6,316,9.0,100,98
3600,89.1,97,2,26,11,1.5,2.5,2,6,44,12,35,27,53,7,5,8.2,311,9.7,200,113
3800,93.5,105,2,25,11,1.6,2.7,2,6,50,13,39,28,55,7,6,8.9,306,10,200,129
4000,97.8,112,2,24,12,1.8,2.8,2,6,56,14,43,29,57,7,6,9.6,301,11,200,147
4200,102.1,120,2,24,12,2.0,2.9,2,7,62,15,47,30,58,7,7,10,297,12,200,166
4400,106.5,129,2,23,12,2.3,3.0,2,7,68,16,51,30,59,7,7,11,294,13,300,187
4600,110.9,138,2,23,12,2.6,3.1,2,7,75,17,56,30,60,7,8,12,292,14,300,210
4800,115.4,147,2,22,12,2.9,3.2,2,8,82,18,60,30,61,6,8,13,290,14,300,234
5000,120.0,156,2,22,13,3.2,3.3,3,8,89,20,65,31,62,6,9,14,289,15,400,260
5200,124.4,165,2,21,13,3.5,3.3,3,8,96,21,69,32,63,6,9,14,287,15,400,287
5400,128.7,175,2,21,13,3.8,3.4,3,8,103,22,74,32,64,5,10,15,286,16,400,316
5600,133.0,185,2,21,14,4.1,3.4,4,8,110,23,79,33,65,5,11,16,284,17,500,347
5800,137.2,194,2,21,14,4.5,3.5,4,9,117,24,84,33,66,5,11,17,283,17,500,380
6000,141.4,204,3,20,15,4.9,3.5,5,9,125,25,89,34,67,4,12,18,281,18,600,415
