Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
200,4.1,4,1,36,8.5,0,0,1,0,0,0,0,2,4,1,0,0.3,407,0.5,0,0.2
400,8.1,10,1,35,8.4,0.1,0.1,1,1,1,0,1,3,8,2,0,0.7,395,1.0,0,1.2
600,12.1,16,1,33,8.3,0.2,0.2,1,1,2,0,1,4,11,3,0,1.1,383,1.5,0,2.7
800,16.1,22,1,31,8.2,0.2,0.3,1,1,3,1,2,6,15,3,1,1.5,372,2.0,0,5.1
1000,20.2,28,1,30,8.1,0.3,0.4,1,1,4,1,4,7,18,4,1,2.0,361,2.6,0,8.0
1200,24.2,35,1,29,8.0,0.3,0.5,1,2,8,2,6,8,21,4,2,2.5,351,3.2,0,12
1400,28.3,42,1,28,8.1,0.4,0.6,1,2,9,2,8,10,24,5,2,3.0,342,3.8,0,17
1600,32.4,49,1,27,8.2,0.5,0.7,1,3,12,3,10,11,27,5,2,3.5,334,4.4,0,23
1800,36.4,57,1,26,8.3,0.6,0.8,1,3,16,3,12,12,30,5,3,4.1,327,5.0,0,30
2000,40.4,65,1,25,8.4,0.7,1.0,2,3,20,4,14,13,32,6,3,4.7,320,5.6,100,38
2200,44.5,73,1,25,8.6,0.8,1.2,2,4,24,4,17,14,34,6,4,5.4,314,6.2,100,47
2400,48.6,81,1,24,8.9,1.0,1.5,2,4,29,5,20,14,36,6,4,6.0,310,6.8,100,58
2600,52.6,90,2,24,9.2,1.1,1.7,2,4,34,6,24,15,38,6,5,6.7,307,7.4,100,70
2800,76.6,99,2,23,9.5,1.2,2.0,2,4,40,6,28,16,40,6,5,7.4,304,8.1,100,83
3000,60.6,108,2,22,9.8,1.4,2.2,2,5,47,7,32,17,42,7,6,8.1,301,8.8,100,97
3200,64.6,117,2,22,10,1.6,2.4,2,5,54,8,36,18,44,7,7,8.8,298,9.4,200,112
3400,68.6,126,2,21,10,1.8,2.5,2,5,60,9,40,18,45,7,7,9.5,294,10,200,129
3600,72.6,135,2,21,10,2.0,2.6,2,5,67,10,45,18,46,7,8,10,290,11,200,147
3800,76.7,145,2,20,10,2.1,2.8,2,5,74,11,50,19,47,7,8,11,287,12,200,167
4000,80.7,155,2,20,11,2.3,2.9,3,5,81,12,55,19,48,7,9,12,285,12,800,189
4200,84.7,165,2,19,11,2.5,2.9,3,6,88,12,60,20,49,7,9,13,283,13,300,212
4400,88.7,175,2,19,11,2.8,3.0,3,6,96,13,64,20,50,7,10,13,281,14,300,237
4600,92.7,186,2,18,12,3.1,3.0,3,7,104,13,69,20,51,7,11,14,279,14,300,264
4800,96.7,197,2,18,12,3.4,3.1,3,7,112,14,73,21,52,7,11,15,278,15,400,292
5000,100.7,208,2,18,13,3.7,3.2,4,7,120,15,78,21,53,6,12,16,276,16,400,322
5200,104.7,219,2,17,13,4.0,3.2,4,8,128,16,8.3,22,55,6,13,17,274,17,400,354
5400,108.8,231,2,17,13,4.3,3.3,4,8,136,17,88,23,57,6,13,18,272,18,500,388
5600,112.8,242,3,16,13,4.6,3.4,5,8,143,18,93,24,59,6,14,19,270,18,500,424
5800,116.9,254,3,16,13,3.0,3.4,5,8,150,19,98,24,60,6,15,20,268,19,600,462
6000,120.9,266,3,15,14,5.4,3.5,6,8,157,20,103,24,61,6,15,21,266,20,700,502
6200,124.9,279,3,15,14,5.8,3.6,6,8,164,21,108,25,62,6,16,22,264,21,700,544
6400,128.9,291,3,15,14,6.3,3.7,6,8,172,22,112,25,63,5,17,23,263,22,800,589
6600,132.9,305,4,14,15,6.8,3.9,6,9,180,23,117,26,65,5,10,24,262,22,800,638
6800,136.9,318,4,14,15,7.3,4.0,6,9,188,25,121,26,66,5,19,25,262,23,900,690
7000,140.9,332,4,13,16,7.8,4.1,7,9,197,26,126,27,67,4,19,26,262,24,900,745
7200,145.0,346,4,13,16,8.4,4.2,7,9,206,27,131,28,69,4,20,27,262,25,1000,804
7400,149.0,361,5,13,17,9.1,4.4,8,9,214,28,136,28,70,4,21,28,261,26,1100,866
7600,153.0,376,5,12,17,9.9,4.6,8,10,222,29,141,28,71,4,22,29,261,27,1100,932
7800,157.0,392,5,12,18,11,4.7,8,10,230,30,146,29,72,4,23,30,260,28,1200,1000
8000,161.0,409,5,12,19,12,4.9,9,10,238,31,150,29,73,4,24,32,260,29,1300,1080
8200,165.1,426,6,11,19,12,5.1,9,10,246,32,154,30,75,4,25,33,260,30,1400,1160
8400,169.1,444,6,11,20,13,5.3,9,10,254,34,159,30,76,3,26,34,260,32,1500,1240
8600,173.1,463,7,10,20,14,5.5,10,10,262,35,163,31,78,3,27,35,260,33,1600,1330
8800,177.2,463,8,9.5,21,15,5.7,10,10,269,37,167,32,80,3,28,37,260,34,1700,1430
9000,181.2,504,9,8.8,21,16,5.9,11,11,277,38,172,32,81,2,30,38,260,35,1800,1540
9200,185.2,528,10,7.9,22,17,6.2,12,11,286,39,176,33,83,2,31,40,261,36,2000,1660
9400,189.2,555,12,6.9,22,19,6.6,13,11,295,40,180,34,85,2,33,42,262,38,2100,1800
9600,193.3,586,15,5.7,23,21,7.1,14,12,303,42,184,35,87,2,35,44,264,40,2200,1960
