Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
200,2.1,10,1,23,6.9,0.1,0,0,0,0,0,0,2,4,1,0.5,0.5,329,0.6,0,0.4
400,4.8,18,1,22,6.7,0.1,0.1,0,1,2,0,1,3,7,2,1,1.1,323,1.2,0,1.8
600,7.6,27,1,22,6.8,0.2,0.2,1,1,5,0,3,4,10,3,1,1.6,318,1.9,0,4.2
800,10.4,36,1,21,6.9,0.3,0.4,1,1,8,1,5,5,13,3,2,2.2,313,2.5,0,7.6
1000,13.4,46,1,21,7.0,0.3,0.6,1,1,12,1,7,6,16,4,2,2.8,309,3.1,0,12
1200,16.4,55,1,21,7.2,0.3,0.8,1,2,15,1,9,8,19,4,3,3.4,305,3.7,0,17
1400,19.4,65,1,20,7.5,0.4,1.1,1,2,18,1,11,9,22,5,3,4.1,302,4.4,0,23
1600,22.4,75,1,20,7.9,0.6,1.4,1,2,21,2,13,10,25,6,4,4.8,299,5.1,0,31
1800,25.4,85,1,25,8.4,0.8,1.7,1,2,25,2,15,11,28,6,5,5.4,296,5.8,0,40
2000,28.4,95,2,20,9.0,1.0,1.9,2,2,30,2,18,12,30,7,5,6.1,293,6.5,100,51
2200,31.4,105,2,20,10,1.2,2.1,2,2,35,3,21,13,33,7,6,6.8,290,7.2,100,63
2400,34.4,116,2,19,11,1.5,2.2,2,3,41,3,23,14,35,8,6,7.6,288,7.9,100,76
2600,37.4,126,2,19,12,1.8,2.3,2,3,46,4,26,15,37,8,7,8.3,286,8.6,100,90
2800,40.5,137,2,19,13,2.1,2.4,2,3,51,4,29,16,39,8,8,9.1,283,9.3,100,106
3000,43.5,148,3,18,14,2.4,2.5,3,3,57,4,32,16,41,9,8,9.9,281,10,100,123
3200,46.6,160,3,18,15,2.8,2.6,3,4,63,5,35,17,44,9,9,11,278,11,100,142
3400,49.7,171,3,17,17,3.3,2.7,3,4,68,6,38,18,46,9,10,12,276,12,200,163
3600,52.7,183,4,17,18,3.8,2.8,3,4,73,6,41,19,48,10,10,12,273,12,200,186
3800,55.8,195,4,16,19,4.4,2.9,3,4,79,7,45,20,50,10,11,13,271,13,200,210
4000,58.8,207,5,16,20,5.0,3.0,4,4,85,7,49,21,52,10,12,14,269,14,200,236
4200,61.9,220,5,15,21,5.7,3.1,4,4,90,8,53,22,54,10,13,15,267,15,300,264
4400,65.0,233,6,15,23,6.5,3.3,4,4,96,8,56,22,56,11,13,16,265,16,300,294
4600,68.1,246,6,15,25,7.4,3.4,4,5,102,9,60,23,58,11,14,17,263,16,300,327
4800,71.3,259,7,14,26,8.3,3.5,4,5,108,10,64,24,60,11,15,18,261,17,400,362
5000,74.4,273,8,14,27,9.3,3.6,5,5,114,11,68,25,62,11,16,19,260,18,400,400
5200,77.5,287,8,14,29,10,3.7,5,5,119,11,72,26,64,11,17,20,259,19,400,440
5400,80.6,302,9,13,30,12,3.8,6,5,125,12,76,26,66,11,18,21,258,20,500,483
5600,83.7,317,10,13,32,13,3.9,6,5,131,13,80,27,68,11,19,22,257,21,500,529
5800,86.8,333,11,12,33,14,4.0,6,6,137,14,84,28,70,11,19,24,256,22,600,578
6000,89.8,349,12,12,35,16,4.1,7,6,143,15,88,29,72,11,20,25,255,23,600,630
6200,92.9,366,13,11,37,18,4.2,7,6,149,16,91,30,74,11,21,26,254,24,700,686
6400,96.1,384,14,11,39,21,4.4,7,6,155,16,94,30,76,12,23,27,253,25,700,747
6600,99.2,402,16,10,41,23,4.6,8,6,160,17,96,31,78,12,24,29,252,26,800,814
6800,102.4,422,18,9.5,43,25,4.8,8,6,166,18,98,32,80,12,25,30,251,27,900,888
7000,105.5,443,20,8.9,45,28,5.0,9,7,172,19,100,33,83,12,26,32,250,28,1000,970
7200,108.7,466,22,8.2,47,32,5.2,10,7,178,20,103,34,86,12,27,33,250,29,1100,1060
7400,111.8,490,26,7.4,49,36,5.5,11,7,183,21,106,35,88,12,29,35,250,31,1200,1160
7600,115.0,517,32,6.4,51,40,5.8,12,7,189,22,109,36,90,12,31,37,250,32,1300,1270
7800,118.2,549,41,5.3,54,44,6.1,13,8,195,23,112,37,92,12,32,39,250,34,1400,1410
8000,121.4,586,56,4.5,57,49,6.4,14,8,201,24,114,38,94,13,35,41,250,36,1600,1570
8200,124.6,637,0,0,60,60,7.0,16,9,207,25,116,39,97,13,38,45,250,38,1800,1800
8300,126.3,717,0,0,64,77,7.8,19,10,211,27,116,40,99,12,43,50,253,42,2100,2180
