Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
6200,124,841,33,3.4,41,59,7.5,24,9,104,15,41,30,99,22,50,55,231,41,2000,2040
6000,120,900,23,4.6,41,65,7.7,27,9,105,15,39,29,97,22,54,58,233,43,2200,2240
5800,116,944,19,5.6,40,70,7.6,30,10,104,14,38,28,94,21,56,61,234,44,2400,2380
5600,112,979,16,6.4,40,75,7.5,34,10,102,14,36,27,90,20,58,63,234,45,2500,2490
5400,108,1009,14,7.1,40,79,7.4,37,11,101,14,35,26,87,19,60,64,235,46,2600,2580
5200,104,1037,12,7.7,39,83,7.3,41,12,100,13,34,25,84,19,62,66,236,47,2700,2660
5000,100,1063,11,8.2,37,87,7.2,44,13,98,13,32,24,81,18,63,67,237,47,2700,2730
4800,96,1088,10,8.7,36,90,7.0,47,13,97,12,31,23,78,17,65,68,237,48,2800,2800
4600,92,1111,9,9.2,34,93,6.8,51,13,96,12,30,22,75,16,66,70,237,48,2900,2860
4400,88,1133,8,9.6,33,96,6.5,55,14,94,11,28,22,72,16,67,71,237,49,2900,2910
4200,84,1154,0,10,31,95,6.2,59,15,92,10,27,21,69,16,69,72,237,49,3000,2960
