Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
200,4,15,1,16,6.1,0.1,0.1,0,0,0,0,0,1,4,1,0.9,0.7,273,0.7,0,0.6
400,8,28,1,16,6.3,0.2,0.3,1,0,0,0,0,2,8,2,1,1.5,271,1.5,0,2.6
600,12,41,1,16,6.5,0.3,0.4,1,0,1,0,0,4,12,4,2,2.3,268,2.2,0,6.0
800,16,54,2,16,6.8,0.4,0.6,1,1,2,0,1,5,16,5,3,3.1,266,3.0,0,11
1000,20,67,2,15,7.2,0.5,0.8,2,1,4,1,3,6,19,6,4,4.0,263,3.7,0,17
1200,24,80,2,15,7.7,0.6,1.0,2,1,6,1,4,7,22,6,4,4.8,261,4.5,0,25
1400,28,94,2,15,8.2,0.8,1.2,2,2,8,1,5,8,26,7,5,5.7,259,5.3,0,34
1600,32,107,2,15,8.7,1.0,1.4,2,2,10,1,5,9,30,8,6,6.6,257,6.1,100,45
1800,36,121,2,14,9.2,1.2,1.6,2,2,13,1,6,10,34,9,7,7.5,254,6.9,100,58
2000,40,135,3,14,9.8,1.4,1.8,3,2,15,2,7,11,37,10,8,8.4,252,7.7,100,72
2200,44,150,3,13,11,1.7,1.9,3,2,18,2,8,12,40,11,9,9.2,250,8.5,100,88
2400,48,165,3,13,12,2.1,2.1,3,2,20,2,10,13,43,12,9,10,248,9.2,100,107
2600,52,180,3,13,12,2.5,2.2,3,2,23,2,11,14,46,13,10,11,246,10,100,128
2800,56,196,4,12,13,3.0,2.4,3,3,26,3,12,15,49,13,11,13,244,11,200,151
3000,60,212,4,12,14,3.5,2.6,4,3,29,3,14,16,52,14,12,14,242,12,200,176
3200,64,228,4,12,15,4.1,2.7,4,3,32,3,16,17,55,15,13,15,240,12,200,204
3400,68,245,5,11,16,4.8,2.9,4,3,35,4,17,17,58,15,14,16,239,13,200,234
3600,72,263,5,11,17,5.6,3.0,5,3,37,4,19,18,61,16,15,17,237,14,300,267
3800,76,281,5,11,18,6.4,3.2,5,3,40,5,20,19,64,17,16,19,236,16,300,302
4000,80,299,6,10,20,7.3,3.3,6,4,42,6,22,20,67,17,17,20,235,17,300,340
4200,84,319,7,9.7,22,8.3,3.4,6,4,45,6,23,21,70,18,19,21,234,18,400,382
4400,88,339,7,9.3,24,9.4,3.6,6,4,49,7,25,22,73,18,20,23,232,19,400,429
4600,92,361,8,8.9,25,11,3.8,7,4,53,7,26,23,76,19,21,24,231,20,500,482
4800,96,383,9,8.4,26,12,3.9,7,4,57,8,28,24,79,20,23,26,229,21,500,541
5000,100,407,10,7.3,27,14,4.1,8,5,61,9,30,25,82,20,24,27,228,22,600,606
5200,104,433,12,7.1,28,16,4.3,9,5,65,10,32,25,85,20,25,29,228,24,700,679
5400,108,461,14,6.4,30,19,4.6,10,5,70,11,34,26,88,21,27,31,227,25,800,762
5600,112,492,17,5.6,32,22,4.9,11,6,75,12,36,27,91,21,29,33,227,26,900,888
5800,116,527,21,4.7,34,25,5.2,12,6,80,13,38,28,94,22,31,36,226,28,1000,969
6000,120,569,30,3.5,36,28,5.5,13,6,86,14,40,29,97,22,34,38,226,30,1100,1100
6200,124,625,0,0,38,34,6.0,15,7,92,14,42,30,100,23,37,42,226,32,1300,1290
6300,126,708,0,0,40,44,6.9,18,8,98,15,43,30,101,23,42,47,228,35,1600,1580
