Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
15200,304,802,29,4.6,28,53,11,26,21,494,118,278,115,144,-29,48,62,314,66,6600,5690
15000,300,845,19,6.9,28,57,12,29,22,500,118,272,114,143,-29,50,64,316,69,6900,6100
14800,296,874,15,8.5,28,60,12,32,22,502,117,267,113,142,-29,52,65,318,70,7100,6390
14600,292,898,13,10,27,63,12,34,23,503,116,262,112,140,-29,53,66,319,71,7300,6610
14400,288,918,12,11,27,65,12,37,23,504,115,257,111,139,-29,55,67,320,72,7400,6790
14200,284,935,11,12,27,67,12,39,24,503,114,253,110,137,-29,56,68,320,73,7500,6940
14000,280,952,10,13,27,69,12,41,25,502,113,249,109,136,-28,57,69,320,75,7600,7070
13800,276,966,10,13,27,71,12,44,25,502,112,245,107,134,-28,57,69,321,76,7600,7190
13600,272,980,9,14,27,72,12,46,26,501,110,241,106,133,-28,58,70,321,77,7700,7300
13400,268,993,8,15,26,73,12,46,26,501,109,237,105,131,-27,59,70,321,77,7700,7410
13200,264,1006,8,16,26,75,12,50,27,501,107,234,104,130,-27,60,71,321,78,7800,7510
13000,260,1018,7,17,26,77,12,52,28,500,106,230,103,128,-27,61,71,322,78,7800,7600
12800,256,1029,7,18,26,79,12,54,29,499,105,226,102,127,-26,61,72,322,78,7800,7680
12600,252,1039,7,18,25,80,12,56,29,498,103,222,100,125,-26,62,72,322,78,7900,7760
12400,248,1049,6,19,25,81,12,58,30,497,102,219,98,123,-26,62,72,322,79,7900,7830
12200,244,1059,6,20,25,81,11,60,30,496,100,215,97,121,-25,63,73,322,79,8000,7900
12000,240,1069,6,20,24,82,11,62,31,495,99,212,95,119,-25,64,73,323,79,8000,7960
11800,236,1079,5,21,24,82,11,65,31,494,98,208,94,117,-25,64,74,323,80,8000,8020
11600,232,1088,5,21,24,83,11,67,32,493,96,205,92,115,-25,65,74,323,80,8100,8070
11400,228,1097,5,22,23,83,11,70,33,491,95,202,90,113,-24,65,74,323,80,8100,8120
11200,224,1105,5,22,23,84,11,73,33,489,93,198,89,111,-24,66,75,323,80,8200,8170
11000,220,1114,5,23,23,84,11,76,34,488,92,194,87,109,-24,66,75,323,81,8200,8220
10800,216,1123,5,23,22,85,11,79,35,486,90,191,86,107,-23,67,75,323,81,8300,8270
10600,212,1131,4,24,22,85,10,82,63,484,89,187,84,105,-23,67,76,323,81,8300,8310
10400,208,1139,4,24,21,86,10,85,37,482,87,184,82,102,-22,68,76,323,81,8400,8350
10200,204,1147,4,25,21,86,10,89,37,481,86,180,80,99,-22,68,76,323,81,8400,8390
10000,200,1155,4,26,20,87,10,94,38,480,84,177,78,97,22,69,77,322,82,8400,8430
9800,196,1163,4,27,20,87,10,100,39,479,83,174,76,95,22,69,77,322,82,855,8460
9700,194,1167,0,0,20,87,10,103,39,478,82,172,75,94,22,70,77,322,82,8500,8480
