Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
600,12,1,1,92,18,0.1,0.1,0,1,1,0,1,9,12,2,0.09,0.4,644,0.9,0,1
800,16,4,1,89,18,0.2,0.2,0,1,1,1,1,12,15,3,0.2,0.6,629,1.2,0,1.8
1000,20,6,1,86,17,0.2,0.2,0,1,2,1,2,15,19,3,0.3,0.7,614,1.5,0,2.9
1200,24,8,1,83,17,0.2,0.2,0,1,2,2,3,18,22,4,0.5,0.9,599,1.8,0,4.3
1400,28,11,1,80,17,0.3,0.3,0,1,3,2,4,21,26,4,0.7,1.1,585,2.1,0,6.1
1600,32,13,1,77,16,0.3,0.4,0,1,4,3,5,23,29,4,0.8,1.3,571,2.5,0,8.3
1800,36,16,1,74,16,0.4,0.5,0,2,5,3,6,26,32,5,0.9,1.5,557,2.9,0,11
2000,40,18,1,71,15,0.4,0.6,0,2,6,4,8,28,35,5,1,1.7,543,3.3,0,14
2200,44,21,1,69,15,0.5,0.7,0,2,7,5,10,30,38,5,1,1.9,530,3.6,0,18
2400,48,24,1,67,15,0.5,0.8,0,2,8,5,11,33,41,6,1,2.1,517,4,0,22
2600,52,27,1,65,15,0.6,0.9,0,2,10,6,13,35,44,6,1,2.4,504,4.4,0,26
2800,56,30,1,63,15,0.6,1.1,1,2,12,8,15,38,47,6,1,2.6,491,4.8,0,30
3000,60,33,1,61,14,0.7,1.3,1,3,14,9,17,40,50,6,2,2.9,478,5.2,100,35
3200,64,37,1,59,14,0.7,1.5,1,3,16,10,19,42,53,6,2,3.2,466,5.6,100,41
3400,68,40,1,57,14,0.8,1.7,1,3,18,11,21,44,56,6,2,3.6,454,6,100,48
3600,72,44,1,55,13,0.9,1.9,1,4,20,12,24,46,58,6,2,3.9,442,6.5,100,55
3800,76,47,1,53,13,1,2.1,1,4,23,13,27,48,60,6,2,4.3,430,7,100,62
4000,80,51,1,51,13,1.1,2.4,1,4,26,15,30,50,62,5,3,4.7,419,7.5,100,70
4200,84,55,1,49,13,1.1,2.6,1,4,29,16,33,52,65,5,3,5.1,408,8,100,79
4400,88,59,1,47,12,1.2,2.8,1,5,32,18,36,54,67,5,3,5.6,398,8.5,100,89
4600,92,64,1,45,12,1.2,3,1,5,35,19,39,55,69,5,3,6.1,388,9,100,100
4800,96,68,1,43,12,1.3,3.2,1,5,38,21,42,57,71,4,4,6.6,378,9.5,200,112
5000,100,73,1,41,11,1.4,3.4,1,5,42,23,46,58,73,4,4,7.1,368,10,200,126
5200,104,77,1,39,11,1.5,3.6,2,6,46,24,50,60,75,4,4,7.7,359,11,200,141
5400,108,82,1,38,11,1.6,3.7,2,6,50,26,54,62,77,3,4,8.3,351,11,200,157
5600,112,88,1,36,11,1.8,3.8,2,6,54,27,58,63,79,3,5,8.9,344,12,200,174
5800,116,93,1,35,12,2,3.9,2,6,59,29,62,65,81,2,5,9.6,338,12,300,192
6000,120,99,2,34,12,2.1,4,2,7,64,31,66,66,83,2,5,10,332,13,300,211
6200,124,105,2,33,12,2.3,4.1,2,7,69,32,70,68,85,2,6,11,327,14,300,231
6400,128,111,2,32,13,2.6,4.2,2,7,74,34,74,69,87,1,6,12,323,14,400,253
6600,132,117,2,31,13,2.9,4.3,2,7,79,35,78,70,88,1,7,12,319,15,400,277
6800,136,124,2,30,13,3.1,4.3,3,8,85,37,83,71,89,0,7,13,315,15,500,304
