Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
12800,256,781,35,3.5,29,48,10,22,19,422,82,242,58,116,-12,46,59,301,59,5100,4380
12600,252,837,21,6,29,54,10,25,20,424,82,237,57,115,-12,50,62,305,62,5400,4830
12400,248,871,17,7.4,29,56,10,28,21,425,82,233,57,114,-12,52,63,307,64,5700,5090
12200,244,898,15,8.7,28,58,10,30,22,425,81,229,56,113,-12,53,64,308,65,5900,5290
12000,240,921,13,9.9,28,60,10,33,22,424,80,225,55,111,-12,55,65,309,66,6000,5450
11800,236,941,11,11,28,62,10,35,23,423,79,221,55,110,-12,56,66,310,67,6100,5590
11600,232,960,10,12,27,64,10,37,24,421,78,217,54,108,-12,57,67,311,67,6200,5720
11400,228,977,9,13,27,66,10,40,24,419,77,213,53,107,-11,58,68,312,68,6300,5840
11200,224,993,8,14,27,68,10,42,25,417,76,209,52,105,-11,59,69,313,69,6400,5950
11000,220,1007,8,14,27,69,10,45,26,415,74,205,52,103,-11,60,69,313,69,6500,6050
10800,216,1021,7,15,26,70,9.9,47,26,413,73,201,51,102,-11,61,70,314,70,6600,6140
10600,212,10.5,7,15,26,71,9.8,50,27,411,72,197,50,100,-11,62,70,314,70,6600,6230
10400,208,1048,7,16,26,73,9.7,52,28,409,71,193,49,98,-11,62,71,314,71,6600,6310
10200,204,1060,7,16,25,75,9.6,54,28,407,70,189,48,96,-11,63,72,315,71,6600,6380
10000,200,1072,6,17,25,77,9.6,56,29,404,69,185,47,94,-11,64,72,315,72,6600,6450
9800,196,1084,6,18,24,78,9.5,58,30,402,67,181,46,92,-10,65,73,315,72,6700,6510
9600,192,1036,6,18,24,79,9.3,60,30,400,66,177,45,90,-10,65,73,315,72,6700,6570
9400,188,1107,5,19,24,79,9.1,63,31,397,65,173,44,88,-10,66,74,316,73,6800,6630
9200,184,1118,5,19,23,80,9,66,32,395,63,169,43,86,-10,67,74,316,73,6800,6690
9000,180,1128,5,20,23,80,8.9,69,33,393,62,166,42,84,-10,67,74,316,73,6800,6750
8800,176,1138,5,20,22,81,8.8,72,34,390,61,162,41,82,-10,68,75,317,74,6900,6800
8600,172,1148,5,20,21,81,8.7,76,34,388,59,158,40,80,-9,68,75,317,74,6900,6850
8400,168,1158,5,20,20,80,8.6,79,35,385,57,154,39,78,-9,69,76,317,74,7000,6890
8200,164,1167,0,0,20,80,8.5,83,36,383,56,150,38,77,-8,70,76,317,74,7000,6930
