Distance,Aim_div,Aim_mil,V,Delta_X_mil,Dev_Dist,Dev_H,Dev_Lat,Dir_Corr_Deriv,Dir_Corr_Lat_Wind,Dir_Corr_Long_Wind,Dist_Corr_P,Dist_Corr_Air_T,Dist_Corr_Proj_T,Dist_Corr_V,Dist_Corr_M,Aim_deg,Imp_deg,Imp_V,Time,Meteo_H,Traj_H
400,0,0,1,62,12,0.1,0.1,0,0,0,0,0,4,8,2,-1,0.4,535,0,0.7,0
600,12,3,1,59,12,0.2,0.2,0,1,1,0,1,6,12,3,0.2,0.6,521,1.1,0,1.5
800,16,6,1,57,12,0.2,0.2,0,1,1,1,1,8,15,3,0.4,0.8,507,1.5,0,2.7
1000,20,10,1,55,11,0.3,0.2,0,1,2,1,2,9,19,4,0.6,1.1,493,1.9,0,4.4
1200,24,13,1,53,11,0.3,0.3,0,1,3,2,3,11,22,5,0.8,1.3,479,2.3,0,6.5
1400,28,17,1,51,10,0.4,0.4,0,2,5,2,4,13,25,5,1,16,465,2.7,0,9
1600,32,21,1,49,10,0.4,0.5,1,2,6,3,5,14,28,6,1,1.9,452,3.1,0,12
1800,36,25,1,47,10,0.5,0.6,1,2,8,4,7,16,31,6,1,2.2,439,3.6,0,16
2000,40,29,1,45,10,0.5,0.8,1,3,10,5,9,17,34,6,1,2.6,427,4.1,0,20
2200,44,34,1,43,11,0.6,0.9,1,3,12,6,11,19,37,6,2,2.9,415,4.5,0,25
2400,48,38,1,42,11,0.7,1.1,1,3,14,7,13,20,40,7,2,3.3,403,5,0,31
2600,52,43,1,40,11,0.8,1.3,1,3,16,8,15,22,43,7,2,3.8,392,5.5,0,38
2800,56,48,1,39,11,0.9,1.5,1,4,18,9,18,23,46,7,2,4.2,381,6,100,46
3000,60,53,1,37,11,0.9,1.7,1,4,21,10,21,24,48,7,3,4.7,371,6.5,100,54
3200,64,58,1,36,11,1,1.9,1,4,24,11,24,25,50,7,3,5.2,362,7.1,100,63
3400,68,64,1,34,12,1.1,2.2,1,5,28,12,27,26,52,7,3,5.8,353,7.7,100,73
3600,72,69,1,33,12,1.2,2.4,2,5,32,13,30,27,54,7,4,6.4,345,8.3,100,85
3800,76,75,2,32,12,1.4,2.6,2,5,36,14,33,28,56,7,4,7,337,8.9,100,98
4000,80,82,2,31,12,1.6,2.8,2,6,40,16,37,29,58,7,4,7.6,330,9.5,200,112
4200,84,88,2,30,13,1.8,2.9,2,6,45,17,41,30,60,7,5,8.3,324,10,200,128
4400,88,95,2,29,13,2,3,2,6,50,18,45,31,62,7,542,9,6,11,200,145
4600,92,102,2,28,13,2.2,3.1,2,7,55,19,49,32,64,7,6,9.7,314,11,200,163
4800,96,109,2,27,13,2.4,3.2,2,7,61,21,53,33,66,6,6,10,310,12,300,182
5000,100,117,2,27,14,2.7,3.3,3,7,67,22,58,34,67,6,7,11,307,13,300,203
5200,104,124,2,26,14,3,3.3,3,8,73,23,62,34,69,6,7,12,304,13,300,225
5400,108,132,2,26,15,3.3,3.4,3,8,79,25,67,35,70,5,7,13,301,14,300,249
5600,112,140,2,25,15,3.5,3.4,3,8,85,26,71,36,72,5,8,13,298,15,400,275
5800,116,148,2,24,15,3.8,3.5,3,8,92,28,76,36,73,4,8,14,295,15,400,302
6000,120,156,3,23,16,4.2,3.5,4,9,99,29,81,37,74,4,9,15,293,16,400,330
6200,124,165,3,22,16,4.5,3.6,4,9,106,30,85,38,76,4,9,16,291,17,500,360
6400,128,174,3,22,16,4.8,3.7,4,9,113,31,90,38,77,4,10,17,289,18,500,393
6600,132,183,3,22,17,5.1,3.7,4,9,120,33,95,39,78,3,10,18,287,18,600,428
6800,136,192,3,21,17,5.4,3.7,5,9,127,34,100,40,79,3,11,18,285,19,600,465
7000,140,201,3,21,17,5.8,3.8,5,10,134,35,105,40,80,3,12,19,283,20,700,504
7200,144,211,4,20,17,6.3,3.8,5,10,141,36,110,41,82,3,12,20,281,20,800,545
7400,148,221,4,20,18,6.8,3.9,5,10,149,38,115,41,83,2,13,21,280,21,800,588
7600,152,231,4,19,18,7.4,3.9,6,10,157,39,120,42,84,2,13,22,279,22,900,633
7800,156,241,4,19,18,8,4,6,10,165,40,125,42,85,2,14,23,278,23,900,681
8000,160,252,4,18,19,8.5,4.1,6,11,173,41,130,43,86,1,15,24,277,24,1000,731
8200,164,263,4,18,19,9,4.1,7,11,181,43,135,44,87,1,15,25,276,24,1100,784
8400,168,274,4,18,20,9.6,4.2,7,11,189,44,140,44,88,0,16,26,275,25,1100,839
8600,172,285,5,18,20,10,4.3,7,11,197,45,145,45,89,0,17,27,274,26,1200,897
8800,176,296,5,17,20,11,4.4,7,12,205,47,150,45,90,0,17,28,273,27,1300,957
9000,180,308,5,17,21,12,4.5,7,12,214,48,155,46,91,-1,18,29,273,28,1400,1020
9200,184,320,5,16,21,13,4.6,7,12,222,49,160,46,92,-1,19,30,273,29,1400,1080
9400,188,332,6,16,21,13,4.7,7,12,231,51,166,47,93,-2,19,31,273,30,1500,1150
9600,192,345,6,15,21,14,2.8,7,12,240,52,171,47,94,-2,20,32,273,31,1600,1220
9800,196,358,6,15,22,14,4.9,8,12,249,53,177,48,95,-2,21,33,273,32,1700,1300
10000,200,372,7,14,22,15,5.1,8,13,258,54,182,48,96,-3,22,34,273,33,1800,1380
10200,204,386,7,14,22,15,5.3,8,13,267,56,187,49,97,-3,23,35,273,34,2000,1470
10400,208,400,7,13,23,16,5.4,9,13,276,57,192,49,98,-4,24,36,273,35,2100,1560
10600,212,415,7,13,23,17,5.6,9,13,285,58,197,50,99,-4,24,37,273,36,2200,1660
10800,216,431,8,12,24,18,5.7,9,14,295,60,202,50,100,-5,25,38,273,37,2300,1760
11000,220,447,8,12,24,19,5.9,10,14,305,61,207,51,101,-5,26,39,274,38,2500,1860
11200,224,464,9,11,24,20,6.1,10,14,315,63,212,51,102,-6,27,41,275,39,2600,1970
11400,228,483,10,10,25,22,6.4,11,14,325,64,217,52,103,-6,28,42,276,40,2800,2090
11600,232,502,11,9.6,25,24,6.7,11,15,335,66,221,52,105,-6,30,43,277,42,2900,2230
11800,236,523,12,8.9,25,25,7,12,15,345,68,225,53,106,-7,31,45,278,43,3100,2380
12000,240,546,14,9,26,27,7.3,13,15,356,70,229,54,108,-7,32,46,280,44,3300,2550
12200,244,570,16,6.9,26,29,7.6,14,16,367,72,234,55,110,-8,34,48,283,46,3500,2740
12400,248,599,21,5.5,27,32,8.1,15,16,378,75,238,56,111,-9,35,49,286,48,3700,2960
12600,252,635,35,3.4,28,35,8.7,16,16,390,77,241,56,113,-10,38,51,290,51,4000,3230
12800,256,695,0,0,28,40,9.5,18,17,406,80,244,57,115,-11,41,55,294,54,4400,3700
