Cover Distance,Minimal Distance for Cover Elevation of 5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
100,2770,4060,5120,6060,6910,7660,8330,8920,9440,9890
200,1730,2540,3240,3870,4440,4960,5450,5920,6360,6780
300,1400,1980,2520,2980,3430,3850,4240,4600,4940,5270
400,1270,1720,2150,2530,2880,3230,3550,3850,4160,4440
500,1230,1590,1940,2270,2570,2860,3130,3400,3650,3890
600,1230,1530,1820,2110,2370,2620,2850,3080,3300,3520
700,1250,1520,1760,2010,2240,2470,2670,2880,3070,3270
800,1280,1520,1730,1950,2160,2360,2540,2730,2900,3070
900,1350,1550,1740,1930,2120,2300,2470,2630,2790,2940
1000,1400,1580,1750,1920,2090,2250,2410,2560,2700,2840
