Cover Distance,Minimal Distance for Cover Elevation of 5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
100,2180,3270,4240,5090,5870,6580,7200,7750,8230,8650
200,1390,2030,2600,3140,3640,4120,4570,4990,5400,5780
300,1150,1600,2020,2400,2780,3130,3470,3790,4110,4420
400,1070,1420,1740,2050,2340,2620,2900,3160,3420,3660
500,1060,1340,1610,1860,2100,2340,2560,2790,3000,3200
600,1090,1320,1540,1760,1960,2160,2350,2540,2730,2910
700,1130,1330,1520,1710,1880,2060,2220,2390,2550,2710
800,1190,1360,1530,1690,1850,2000,2150,2290,2440,2580
900,1260,1410,1560,1700,1840,1980,2110,2440,2360,2490
1000,1330,1470,1600,1720,1850,1970,2090,2210,2320,2440
