Cover Distance,Minimal Distance for Cover Elevation of 5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
100,1660,2580,3400,4170,4850,5460,6000,6480,6880,7220
200,1060,1550,2030,2480,2910,3320,3720,4090,4450,4780
300,930,1260,1580,1900,2200,2500,2790,3070,3340,3610
400,900,1160,1400,1640,1870,2110,2340,2560,2780,2990
500,920,1130,1320,1520,1700,1900,2080,2260,2440,2620
600,970,1140,1310,1470,1630,1790,1940,2100,2250,2400
700,1040,1190,1320,1470,1600,1740,1870,2000,2130,2270
800,1100,1230,1350,1480,1590,1720,1830,1950,2060,2180
900,1190,1300,1410,1520,1620,1730,1830,1930,2040,2140
1000,1270,1370,1470,1560,1650,1750,1850,1940,2030,2120
