Cover Distance,Minimal Distance for Cover Elevation of 5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
100,1250,1940,2570,3140,3670,4140,4550,4910,5230,5490
200,850,1210,1560,1890,2220,2530,2830,3110,3380,3640
300,780,1020,1260,1490,1720,1940,2160,2370,2570,2770
400,790,970,1150,1330,1500,1670,1840,2010,2170,2330
500,840,980,1130,1270,1410,1550,1680,1820,1950,2080
600,900,1020,1140,1260,1380,1490,1600,1720,1830,1950
700,970,1080,1180,1280,1380,1480,1580,1680,1770,1870
800,1050,1150,1230,1320,1410,1500,1580,1670,1750,1840
900,1150,1220,1300,1380,1460,1530,1610,1680,1760,1840
1000,1230,1300,1370,1440,1510,1580,1650,1720,1780,1850
