Cover Distance,Minimal Distance for Cover Elevation of 5m,10m,15m,20m,25m,30m,35m,40m,45m,50m
100,3430,4880,6060,7070,7970,8760,9460,9880,10630,11100
200,2140,3130,3940,4650,5280,5870,6400,6910,7380,7820
300,1700,2430,3080,3630,4140,4610,5030,5440,5830,6200
400,1500,2080,2600,3080,3510,3890,4260,4610,4930,5240
500,1420,1900,2330,2730,3100,3450,3770,4070,4350,4630
600,1390,1790,2150,2510,2840,3140,3430,3700,3950,4200
700,1390,1740,2050,2370,2650,2930,3180,3430,3670,3880
800,1420,1720,2000,2280,2530,2770,3020,3230,3450,3650
900,1460,1720,1980,2220,2450,2670,2880,3090,3280,3470
1000,1500,1740,1960,2190,2400,2600,2790,2980,3170,3340
